evento_id;_CarrierDelay;_WeatherDelay;_NASDelay
24627;545.0;3;64.00
24628;297.0;2;8.00
24629;1405.0;6;13.00
24630;2084.0;9;31.00
24631;1013.0;5;54.00
24632;235.0;1;32.00
24633;1532.0;7;31.00
24634;780.0;4;329.00
24635;1927.0;8;21.00
24636;1185.0;5;25.00
24637;368.0;2;53.00
24638;991.0;4;76.00
24639;297.0;2;27.00
24640;528.0;3;29.00
24641;594.0;3;96.00
24642;366.0;2;83.00
24643;1400.0;6;0.00
24644;2556.0;11;35.00
24645;1183.0;5;33.00
24646;1183.0;5;8.00
24647;1340.0;6;40.00
24648;1022.0;5;0.00
24649;187.0;1;36.00
24650;1426.0;6;10.00
24651;757.0;4;7.00
24652;1956.0;8;13.00
24653;983.0;4;12.00
24654;526.0;3;51.00
24655;689.0;3;31.00
24656;853.0;4;75.00
24657;1080.0;5;30.00
24658;1522.0;7;29.00
24659;1145.0;5;28.00
24660;1626.0;7;84.00
24661;1587.0;7;35.00
24662;1572.0;7;179.00
24663;874.0;4;38.00
24664;590.0;3;165.00
24665;834.0;4;160.00
24666;334.0;2;41.00
24667;205.0;1;62.00
24668;1127.0;5;32.00
24669;834.0;4;71.00
24670;1142.0;5;16.00
24671;240.0;1;79.00
24672;334.0;2;43.00
24673;986.0;4;39.00
24674;1927.0;8;141.00
24675;630.0;3;17.00
24676;594.0;3;36.00
24677;946.0;4;370.00
24678;1671.0;7;17.00
24679;615.0;3;3.00
24680;1389.0;6;187.00
24681;457.0;2;283.00
24682;528.0;3;4.00
24683;907.0;4;5.00
24684;640.0;3;55.00
24685;453.0;2;30.00
24686;489.0;2;356.00
24687;1598.0;7;50.00
24688;1919.0;8;527.00
24689;205.0;1;10.00
24690;1990.0;8;109.00
24691;1535.0;7;59.00
24692;1814.0;8;138.00
